sample	population
PHIS2016ESP0008F_CSP31_151116	spanish
PHIS2016ESP0009M_CSP36_151116	spanish
PHIS2016ESP0010F_CSP4_161116	spanish
PHIS2016ESP0003F_CSP6_151116	spanish
PHIS2016ESP0001F_CSP7_151116	spanish
PHIS2016ESP0002F_CSP9_151116	spanish
PHIS2012CPV0002M_CSV01	spanish
PHIS2014CPV0001M_CV-BOA16-2	spanish
PHIS2014CPV0002M_CV-BOA19-2	spanish
PHIS2014CPV0003M_CV-SNI03-1	spanish
PHIS2014CPV0004M_CV-SNI04-1	spanish
PHIS2014CPV0005M_CV-SNI09-1	spanish
PHIS2014CPV0006M_CV-STG03-2	spanish
PHIS2014CPV0007M_CV-STG05-1	spanish
PHIS2014CPV0008M_CV-STG11-2	spanish
PHIS2014CPV0009M_CV-STG16-2	spanish
PHIS2014CPV0010M_CV-STG18-1	spanish
PDOM2014CPV0001F_CVH02-1	european_house
PDOM2014CPV0002M_CVH03-1	european_house
PDOM2014CPV0003M_CVH05-1	european_house
PDOM2014CPV0004M_CVH07-1	european_house
PDOM2014CPV0005M_CVH09-1	european_house
PDOM2014CPV0006M_CVH13-1	european_house
PDOM2014CPV0007M_CVH15-2	european_house
PDOM2014CPV0008M_CVH16-1	european_house
PDOM2014CPV0009F_CVH17-2	european_house
PHIS2012CPV0001M_CVS02	spanish
PITA2012ITA0001M_Crotone498	italian_mainland
PITA2012ITA0002M_Crotone500	italian_mainland
PITA2012ITA0003M_Crotone501	italian_mainland
PITA2012ITA0004M_Crotone502	italian_mainland
PITA2012ITA0005M_Crotone505	italian_mainland
PITA2012ITA0006M_Crotone510	italian_mainland
PITA2012ITA0007M_Crotone512	italian_mainland
PITA2012ITA0008M_Crotone514	italian_mainland
PITA2012ITA0009M_Crotone517	italian_mainland
PITA2012ITA0010M_Crotone518	italian_mainland
PHIS2016TUN0001U_FAR01-2	spanish
PHIS2016TUN0002U_FAR02-1	spanish
PHIS2016TUN0003U_FAR03-2	spanish
PHIS2016TUN0004U_FAR04-2	spanish
PHIS2016TUN0005U_FAR05-2	spanish
PHIS2016TUN0006U_FAR06-2	spanish
PHIS2016TUN0007U_FAR07-2_mos_std	spanish
PHIS2016TUN0008U_FAR08-2	spanish
PHIS2016TUN0009U_FAR09-2	spanish
PDOM2012FIN0001U_FIN240	european_house
PDOM2012FIN0002U_FIN248	european_house
PDOM2012FIN0003U_FIN30	european_house
PDOM2013FRA0006M_FR041	european_house
PDOM2013FRA0009M_FR044	european_house
PDOM2013FRA0002M_FR046	european_house
PDOM2013FRA0010M_FR048	european_house
PDOM2013FRA0001M_FR049	european_house
PDOM2013FRA0004M_FR050	european_house
PDOM2013FRA0008M_FR051	european_house
PDOM2013FRA0007M_FR061	european_house
PDOM2013FRA0003M_FR063	european_house
PDOM2013FRA0005M_FR064	european_house
PITA2012ITA0011M_Guglionesi336	italian_mainland
PITA2012ITA0012M_Guglionesi426	italian_mainland
PITA2012ITA0013M_Guglionesi427	italian_mainland
PITA2012ITA0014M_Guglionesi428	italian_mainland
PITA2012ITA0015M_Guglionesi429	italian_mainland
PITA2012ITA0016M_Guglionesi431	italian_mainland
PITA2012ITA0017M_Guglionesi432	italian_mainland
PITA2012ITA0018M_Guglionesi433	italian_mainland
PITA2012ITA0019M_Guglionesi434	italian_mainland
PITA2012ITA0020M_Guglionesi435	italian_mainland
PDOM2016ISR0001F_HV04-1	neareast_house
PDOM2016ISR0002M_HV05-1	neareast_house
PDOM2016ISR0003M_HV06-1	neareast_house
PDOM2016ISR0004M_HV10-1	neareast_house
PDOM2016ISR0005F_HV12-1	neareast_house
PDOM2016ISR0006F_HV14-1	neareast_house
PDOM2016ISR0007M_HV15-1	neareast_house
PDOM2016ISR0008M_HV24-1	neareast_house
PITAITA0000_I124	italian_mainland
PITAITA0000_I130	italian_mainland
PITAITA0000_I133-2	italian_mainland
PITAITA0000_I137	italian_mainland
PITAITA0000_I141	italian_mainland
PITAITA0000_I142	italian_mainland
PITAITA0000_I154	italian_mainland
PITAITA0000_I180	italian_mainland
PITAITA0000_I189	italian_mainland
PITAITA0000_I233	italian_mainland
PITAITA0000_I257	italian_mainland
