population	species
abd_al_kuri	abd_al_kuri
socotran	socotran
european_house	house
introduced_house	house
spanish	spanish
neareast_house	indicus
golden	golden
iago	iago
cinammon	cinammon
italian_island	italian
tree	tree
italian_mainland	italian
bactrianus	bactrianus
dead_sea	dead_sea
swahili	swahili
saxual	saxual
desert_sparrow	desert_sparrow
cape	cape
sind	sind
grey_headed	grey_headed
great	great
southern_grey_headed	southern_grey_headed
